,Vehicle_model,BrandID
183,C-10,16
184,Camaro,16
185,Caprice,16
186,Captiva,16
187,Chevy Van,16
188,Colorado,16
189,Corvette,16
190,Cruze,16
191,El Camino,16
192,Epica,16
193,Equinox,16
194,Evanda,16
195,Express,16
196,HHR,16
197,Impala,16
198,K1500,16
199,Kalos,16
200,Lacetti,16
201,Malibu,16
202,Matiz,16
203,Monte Carlo,16
204,Nubira,16
205,Orlando,16
206,Other,16
207,Rezzo,16
208,S-10,16
209,Silverado,16
210,Spark,16
211,Suburban,16
212,Tacuma,16
213,Tahoe,16
214,Trailblazer,16
215,Trans Sport,16
216,Traverse,16
217,Trax,16
218,Venture,16
219,Volt,16
220,200,17
221,300,17
222,300C,17
223,300M,17
224,300s,17
225,Aspen,17
226,Crossfire,17
227,Grand Voyager,17
228,Le Baron,17
229,Neon,17
230,New Yorker,17
231,Other,17
232,PT Cruiser,17
233,Pacifica,17
234,Prowler,17
235,Sebring,17
236,Stratus,17
237,Town & Country,17
238,Vision,17
239,Voyager,17
240,2 CV,18
241,AX,18
242,BX,18
243,Berlingo,18
244,C-Crosser,18
245,C-Elysée,18
246,C1,18
247,C2,18
248,C3,18
249,C3 Aircross,18
250,C3 Picasso,18
251,C3 Pluriel,18
252,C4,18
253,C4 Aircross,18
254,C4 Cactus,18
255,C4 Grand Picasso,18
256,C4 Picasso,18
257,C4 SpaceTourer,18
258,C5,18
259,C5 Aircross,18
260,C6,18
261,C8,18
262,DS,18
263,DS3,18
264,DS4,18
265,DS5,18
266,Evasion,18
267,Jumper,18
268,Jumpy Combi,18
269,Nemo,18
270,Other,18
271,Saxo,18
272,SpaceTourer,18
273,XM,18
274,Xantia,18
275,Xsara,18
276,Xsara Picasso,18
277,ZX,18
278,Ateca,19
279,Formentor,19
280,Leon,19
281,Leon Sportstourer,19
282,Fengon 5,23
283,Glory 580,23
284,Other,24
285,DS 3,26
286,DS 3 Crossback,26
287,DS 4,26
288,DS 4 Crossback,26
289,DS 5,26
290,DS 7 Crossback,26
291,Other,26
292,1300,20
293,Dokker,20
294,Dokker Van,20
295,Duster,20
296,Lodgy,20
297,Logan,20
298,Logan Van,20
299,Sandero,20
300,Sandero Stepway,20
301,Chairman,21
302,Espero,21
303,Evanda,21
304,Kalos,21
305,Lacetti,21
306,Lanos,21
307,Leganza,21
308,MUSSO,21
309,Matiz,21
310,Nubira,21
311,Other,21
312,Rezzo,21
313,Tacuma,21
314,Tico,21
315,Charade,22
316,Cuore,22
317,Feroza,22
318,Materia,22
319,Rocky,22
320,Sirion,22
321,Terios,22
322,Trevis,22
323,YRV,22
324,Avenger,25
325,Caliber,25
326,Caravan,25
327,Challenger,25
328,Charger,25
329,Dakota,25
330,Dart,25
331,Durango,25
332,Grand Caravan,25
333,Journey,25
334,Magnum,25
335,Nitro,25
336,Other,25
337,RAM,25
338,Viper,25
339,HQ,27
340,208,28
341,308,28
342,348,28
343,360,28
344,400,28
345,458 Italia,28
346,488,28
347,488 Pista,28
348,575,28
349,599GTB,28
350,812 Superfast,28
351,California,28
352,F12berlinetta,28
353,F355,28
354,F360,28
355,F430,28
356,F8 Tributo,28
357,FF,28
358,GTC4Lusso,28
359,Mondial,28
360,Portofino,28
361,Roma,28
362,Testarossa,28
363,124,29
364,124 Spider,29
365,125p,29
366,126,29
367,127,29
368,128,29
369,131,29
370,500,29
371,500L,29
372,500X,29
373,600,29
374,Albea,29
375,Barchetta,29
376,Brava,29
377,Bravo,29
378,Cinquecento,29
379,Coupe,29
380,Croma,29
381,Doblo,29
382,Ducato,29
383,Fiorino,29
384,Freemont,29
385,Fullback,29
386,Grande Punto,29
387,Idea,29
388,Linea,29
389,Marea,29
390,Multipla,29
391,Other,29
392,Palio,29
393,Panda,29
394,Punto,29
395,Punto 2012,29
396,Punto Evo,29
397,Qubo,29
398,Scudo,29
399,Sedici,29
400,Seicento,29
401,Siena,29
402,Stilo,29
403,Strada,29
404,Talento,29
405,Tempra,29
406,Tipo,29
407,Ulysse,29
408,Uno,29
409,X 1,29
410,B-MAX,30
411,C-MAX,30
412,Capri,30
413,Cougar,30
414,Courier,30
415,Crown,30
416,EDGE,30
417,EcoSport,30
418,Econoline,30
419,Escape,30
420,Escort,30
421,Excursion,30
422,Expedition,30
423,Explorer,30
424,F150,30
425,F250,30
426,F350,30
427,Fairlane,30
428,Fiesta,30
429,Flex,30
430,Focus,30
431,Focus C-Max,30
432,Freestar,30
433,Fusion,30
434,Galaxy,30
435,Granada,30
436,Grand C-MAX,30
437,KA,30
438,Ka+,30
439,Kuga,30
440,Maverick,30
441,Mercury,30
442,Mondeo,30
443,Mustang,30
444,Mustang Mach-E,30
445,Orion,30
446,Other,30
447,Probe,30
448,Puma,30
449,Ranchero,30
450,Ranger,30
451,Ranger Raptor,30
452,S-Max,30
453,Scorpio,30
454,Sierra,30
455,Streetka,30
456,Taunus,30
457,Taurus,30
458,Thunderbird,30
459,Tourneo Connect,30
460,Tourneo Courier,30
461,Tourneo Custom,30
462,Transit,30
463,Transit Connect,30
464,Transit Courier,30
465,Transit Custom,30
466,Windstar,30
467,Envoy,32
468,Safari,32
469,Savana,32
470,Sierra,32
471,Terrain,32
472,Yukon,32
473,69,31
474,Other,31
475,Other,33
476,Accord,34
477,CR-V,34
478,CR-Z,34
479,CRX,34
480,City,34
481,Civic,34
482,FR-V,34
483,HR-V,34
484,Insight,34
485,Integra,34
486,Jazz,34
487,Legend,34
488,Odyssey,34
489,Other,34
490,Pilot,34
491,Prelude,34
492,Ridgeline,34
493,S 2000,34
494,Stream,34
495,H1,35
496,H2,35
497,H3,35
498,Accent,36
499,Atos,36
500,Azera,36
501,Coupe,36
502,Elantra,36
503,Galloper,36
504,Genesis,36
505,Genesis Coupe,36
506,Getz,36
507,Grand Santa Fe,36
508,Grandeur,36
509,H-1,36
510,H-1 Starex,36
511,I30,36
512,IONIQ,36
513,Kona,36
514,Matrix,36
515,Other,36
516,Pony,36
517,Santa Fe,36
518,Sonata,36
519,Sonica,36
520,Terracan,36
521,Trajet,36
522,Tucson,36
523,Veloster,36
524,XG 30,36
525,i10,36
526,i20,36
527,i25,36
528,i30 N,36
529,i40,36
530,ix20,36
531,ix35,36
532,ix55,36
533,EX,37
534,FX,37
535,G,37
536,M,37
537,Other,37
538,Q30,37
539,Q50,37
540,Q60,37
541,Q70,37
542,QX,37
543,QX30,37
544,QX50,37
545,QX60,37
546,QX70,37
547,QX80,37
548,Other,69
549,D-Max,38
550,Other,38
551,Massif,39
552,Daimler,40
553,E-Pace,40
554,E-Type,40
555,F-Pace,40
556,F-Type,40
557,I-Pace,40
558,MK II,40
559,Other,40
560,S-Type,40
561,S-Type R,40
562,X-Type,40
563,XE,40
564,XF,40
565,XJ,40
566,XJS,40
567,XJSC,40
568,XK,40
569,XK8,40
570,CJ,41
571,Cherokee,41
572,Comanche,41
573,Commander,41
574,Compass,41
575,Gladiator,41
576,Grand Cherokee,41
577,Liberty,41
578,Patriot,41
579,Renegade,41
580,Wagoneer,41
581,Willys,41
582,Wrangler,41
583,Carens,42
584,Carnival,42
585,Ceed,42
586,Cerato,42
587,Clarus,42
588,Joice,42
589,Magentis,42
590,Niro,42
591,Opirus,42
592,Optima,42
593,Other,42
594,Picanto,42
595,Pro_cee'd,42
596,Rio,42
597,Sedona,42
598,Shuma,42
599,Sorento,42
600,Soul,42
601,Sportage,42
602,Stinger,42
603,Stonic,42
604,Venga,42
605,XCeed,42
606,1117,43
607,1118,43
608,2101,43
609,2108,43
610,Kalina,43
611,Niva,43
612,Other,43
613,Samara,43
614,Aventador,44
615,Countach,44
616,Diablo,44
617,Gallardo,44
618,Huracan,44
619,Murcielago,44
620,Urus,44
621,Delta,45
622,Fulvia,45
623,Gamma,45
624,Kappa,45
625,Lybra,45
626,Musa,45
627,Other,45
628,Phedra,45
629,Thema,45
630,Thesis,45
631,Voyager,45
632,Ypsilon,45
633,Defender,46
634,Discovery,46
635,Discovery Sport,46
636,Freelander,46
637,Other,46
638,Range Rover,46
639,Range Rover Evoque,46
640,Range Rover Sport,46
641,Range Rover Velar,46
642,CT,47
643,ES,47
644,GS,47
645,GX,47
646,HS 250h,47
647,IS,47
648,LC,47
649,LS,47
650,LX,47
651,NX,47
652,Other,47
653,RC,47
654,RX,47
655,SC,47
656,UX,47
657,Ambra,48
658,IXO,48
659,JS RC,48
660,JS50,48
661,JS50L,48
662,Nova,48
663,Other,48
664,X-Too,48
665,X-Too Max,48
666,Aviator,49
667,Continental,49
668,MKX,49
669,MKZ,49
670,Mark,49
671,Mark LT,49
672,Navigator,49
673,Other,49
674,Town Car,49
675,Evora,50
676,Other,50
677,Super Seven,50
678,TGE,51
679,MGA,59
680,MGB,59
681,MGF,59
682,Midget,59
683,TD,59
684,TF,59
685,ZR,59
686,ZS,59
687,ZT,59
688,1300,61
689,Clubman,61
690,Cooper,61
691,Cooper S,61
692,Countryman,61
693,ONE,61
694,Other,61
695,Paceman,61
696,224,53
697,3200,53
698,4200,53
699,Biturbo,53
700,Ghibli,53
701,GranCabrio,53
702,GranTurismo,53
703,Levante,53
704,Quattroporte,53
705,57,54
706,Other,54
707,121,55
708,2,55
709,3,55
710,323,55
711,323F,55
712,5,55
713,6,55
714,626,55
715,929,55
716,BT-50,55
717,CX-3,55
718,CX-30,55
719,CX-5,55
720,CX-7,55
721,CX-9,55
722,Demio,55
723,MPV,55
724,MX-3,55
725,MX-30,55
726,MX-5,55
727,Millenia,55
728,Other,55
729,Premacy,55
730,Protege,55
731,RX-7,55
732,RX-8,55
733,Tribute,55
734,Xedos,55
735,570 GT,56
736,570S Coupe,56
737,570S Spider,56
738,600LT Spider,56
739,720S Coupe,56
740,720S Spider,56
741,MP4-12C,56
742,Other,56
743,altul,56
744,280,57
745,AMG GT,57
746,CL,57
747,CLA,57
748,CLC,57
749,CLK,57
750,CLS,57
751,Citan,57
752,EQA,57
753,EQC,57
754,EQV,57
755,GL,57
756,GLA,57
757,GLB,57
758,GLC,57
759,GLE,57
760,GLK,57
761,GLS,57
762,Klasa A,57
763,Klasa B,57
764,Klasa C,57
765,Klasa E,57
766,Klasa G,57
767,Klasa R,57
768,Klasa S,57
769,Klasa V,57
770,Klasa X,57
771,ML,57
772,Other,57
773,SL,57
774,SLC,57
775,SLK,57
776,SLS,57
777,Sprinter,57
778,Vaneo,57
779,Viano,57
780,Vito,57
781,W123,57
782,W124 (1984-1993),57
783,W201 (190),57
784,Cougar,58
785,Marquis,58
786,Other,58
787,DUE,60
788,DUE First,60
789,Flex,60
790,Highland X,60
791,Ligier,60
792,M.GO,60
793,MC,60
794,Other,60
795,Virgo,60
796,3000GT,62
797,ASX,62
798,Carisma,62
799,Colt,62
800,Eclipse,62
801,Eclipse Cross,62
802,Endeavor,62
803,Galant,62
804,Grandis,62
805,L200,62
806,L300,62
807,L400,62
808,Lancer,62
809,Lancer Evolution,62
810,Montero,62
811,Outlander,62
812,Pajero,62
813,Pajero Pinin,62
814,Sigma,62
815,Space Gear,62
816,Space Runner,62
817,Space Star,62
818,Space Wagon,62
819,i-MiEV,62
820,2141,63
821,402,63
822,403,63
823,407,63
824,408,63
825,1000,65
826,100 NX,64
827,200 SX,64
828,280 ZX,64
829,300 ZX,64
830,350 Z,64
831,370 Z,64
832,Almera,64
833,Almera Tino,64
834,Altima,64
835,Bluebird,64
836,Cube,64
837,Frontier,64
838,GT-R,64
839,Interstar,64
840,Juke,64
841,King Cab,64
842,Kubistar,64
843,Laurel,64
844,Leaf,64
845,Maxima,64
846,Micra,64
847,Murano,64
848,NP300 Pickup,64
849,NV200,64
850,NV300,64
851,Navara,64
852,Note,64
853,Other,64
854,Pathfinder,64
855,Patrol,64
856,Pickup,64
857,Pixo,64
858,Primastar,64
859,Primera,64
860,Pulsar,64
861,Qashqai,64
862,Qashqai+2,64
863,Quest,64
864,Rogue,64
865,Sentra,64
866,Skyline,64
867,Sunny,64
868,Terrano,64
869,Tiida,64
870,Titan,64
871,X-Trail,64
872,Other,66
873,Seria 500,66
874,Aurora,67
875,Bravada,67
876,Cutlass,67
877,Delta 88,67
878,Eighty - Eight,67
879,Other,67
880,Regency,67
881,Toronado,67
882,Adam,68
883,Agila,68
884,Ampera,68
885,Antara,68
886,Ascona,68
887,Astra,68
888,Calibra,68
889,Campo,68
890,Cascada,68
891,Combo,68
892,Commodore,68
893,Corsa,68
894,Crossland X,68
895,Frontera,68
896,GT,68
897,Grandland X,68
898,Insignia,68
899,Kadett,68
900,Karl,68
901,Manta,68
902,Meriva,68
903,Mokka,68
904,Monterey,68
905,Monza,68
906,Movano,68
907,Omega,68
908,Other,68
909,Rekord,68
910,Signum,68
911,Sintra,68
912,Speedster,68
913,Tigra,68
914,Vectra,68
915,Vivaro,68
916,Zafira,68
917,1007,85
918,106,85
919,107,85
920,108,85
921,2008,85
922,204,85
923,205,85
924,206,85
925,206 CC,85
926,206 plus,85
927,207,85
928,207 CC,85
929,208,85
930,3008,85
931,301,85
932,304,85
933,306,85
934,307,85
935,307 CC,85
936,308,85
937,308 CC,85
938,309,85
939,4007,85
940,4008,85
941,405,85
942,406,85
943,407,85
944,5008,85
945,508,85
946,605,85
947,607,85
948,807,85
949,Bipper,85
950,Boxer,85
951,Expert,85
952,Other,85
953,Partner,85
954,RCZ,85
955,Rifter,85
956,Traveller,85
957,iOn,85
958,Fury,82
959,Other,82
960,Prowler,82
961,Road Runner,82
962,1.5,93
963,1.6,93
964,Atu,93
965,Caro,93
966,Bonneville,94
967,Catalina,94
968,Chieftain,94
969,Fiero,94
970,Firebird,94
971,Grand-Am,94
972,Grand-Prix,94
973,Trans Am,94
974,356,89
975,718 Boxster,89
976,718 Cayman,89
977,911,89
978,914,89
979,924,89
980,928,89
981,944,89
982,968,89
983,Boxster,89
984,Cayenne,89
985,Cayman,89
986,Macan,89
987,Other,89
988,Panamera,89
989,Taycan,89
990,1500,86
991,Other,86
992,10,84
993,18,84
994,19,84
995,4,84
996,5,84
997,9,84
998,Alaskan,84
999,Avantime,84
1000,Captur,84
1001,Clio,84
1002,Coupe,84
1003,Espace,84
1004,Express,84
1005,Fluence,84
1006,Fuego,84
1007,Grand Espace,84
1008,Grand Scenic,84
1009,Kadjar,84
1010,Kangoo,84
1011,Koleos,84
1012,Laguna,84
1013,Latitude,84
1014,Master,84
1015,Megane,84
1016,Modus,84
1017,Other,84
1018,Safrane,84
1019,Scenic,84
1020,Scenic Conquest,84
1021,Scenic RX4,84
1022,Talisman,84
1023,Thalia,84
1024,Trafic,84
1025,Twingo,84
1026,Twizy,84
1027,Vel Satis,84
1028,Wind,84
1029,Zoe,84
1030,Corniche,83
1031,Cullinan,83
1032,Ghost,83
1033,Other,83
1034,Park Ward,83
1035,Phantom,83
1036,Silver Shadow,83
1037,Silver Spirit,83
1038,Silver Spur,83
1039,Wraith,83
1040,200,88
1041,214,88
1042,220,88
1043,25,88
1044,400,88
1045,416,88
1046,45,88
1047,620,88
1048,75,88
1049,827,88
1050,MG,88
1051,Other,88
1052,Streetwise,88
1053,9-2X,81
1054,9-3,81
1055,9-3X,81
1056,9-5,81
1057,9-7X,81
1058,900,81
1059,9000,81
1060,96,81
1061,Other,81
1062,PS-10,95
1063,Outlook,96
1064,xA,97
1065,Alhambra,98
1066,Altea,98
1067,Altea XL,98
1068,Arona,98
1069,Arosa,98
1070,Ateca,98
1071,Cordoba,98
1072,Exeo,98
1073,Ibiza,98
1074,Leon,98
1075,Marbella,98
1076,Mii,98
1077,Ronda,98
1078,Tarraco,98
1079,Toledo,98
1080,Forfour,100
1081,Fortwo,100
1082,Roadster,100
1083,Actyon,80
1084,Korando,80
1085,Kyron,80
1086,MUSSO,80
1087,Other,80
1088,REXTON,80
1089,Rodius,80
1090,Tivoli,80
1091,XLV,80
1092,B9 Tribeca,78
1093,BRZ,78
1094,Baja,78
1095,Forester,78
1096,G3X Justy,78
1097,Impreza,78
1098,Justy,78
1099,Legacy,78
1100,Levorg,78
1101,OUTBACK,78
1102,Other,78
1103,SVX,78
1104,Trezia,78
1105,Tribeca,78
1106,WRX,78
1107,XV,78
1108,Across,75
1109,Alto,75
1110,Baleno,75
1111,Celerio,75
1112,Grand Vitara,75
1113,Ignis,75
1114,Jimny,75
1115,Kizashi,75
1116,LJ,75
1117,Liana,75
1118,Other,75
1119,SJ,75
1120,SX4,75
1121,SX4 S-Cross,75
1122,Samurai,75
1123,Splash,75
1124,Swace,75
1125,Swift,75
1126,Vitara,75
1127,Wagon R+,75
1128,X-90,75
1129,XL7,75
1130,104,101
1131,105,101
1132,Bosto,101
1133,R-20,101
1134,Horizon,102
1135,233,91
1136,237,91
1137,Honker,91
1138,Other,91
1139,Indica,71
1140,Other,71
1141,Xenon,71
1142,ZAZ 1102,103
1143,Model 3,104
1144,Model S,104
1145,Model X,104
1146,4-Runner,70
1147,Auris,70
1148,Avalon,70
1149,Avensis,70
1150,Avensis Verso,70
1151,Aygo,70
1152,C-HR,70
1153,Camry,70
1154,Camry Solara,70
1155,Carina,70
1156,Celica,70
1157,Corolla,70
1158,Corolla Verso,70
1159,Cressida,70
1160,Crown,70
1161,FJ,70
1162,GT86,70
1163,Hiace,70
1164,Highlander,70
1165,Hilux,70
1166,Land Cruiser,70
1167,MR2,70
1168,Matrix,70
1169,Other,70
1170,Paseo,70
1171,Previa,70
1172,Prius,70
1173,Prius+,70
1174,ProAce,70
1175,Proace City,70
1176,Proace City Verso,70
1177,Proace Verso,70
1178,RAV4,70
1179,Sequoia,70
1180,Sienna,70
1181,Starlet,70
1182,Supra,70
1183,Tacoma,70
1184,Tercel,70
1185,Tundra,70
1186,Urban Cruiser,70
1187,Venza,70
1188,Verso,70
1189,Verso S,70
1190,Yaris,70
1191,Yaris Verso,70
1192,iQ,70
1193,601,74
1194,Other,74
1195,P 50,74
1196,Other,87
1197,Spitfire,87
1198,TR3,87
1199,TR4,87
1200,TR7,87
1201,452,72
1202,Other,72
1203,Speedster,105
1204,Vectra,106
1205,Amarok,77
1206,Arteon,77
1207,Atlas,77
1208,Beetle,77
1209,Bora,77
1210,CC,77
1211,Caddy,77
1212,California,77
1213,Caravelle,77
1214,Crafter,77
1215,Eos,77
1216,Fox,77
1217,Garbus,77
1218,Golf,77
1219,Golf Plus,77
1220,Golf Sportsvan,77
1221,ID.3,77
1222,ID.4,77
1223,Jetta,77
1224,Kafer,77
1225,Karmann Ghia,77
1226,LT,77
1227,Lupo,77
1228,Multivan,77
1229,New Beetle,77
1230,Other,77
1231,Passat,77
1232,Passat CC,77
1233,Phaeton,77
1234,Polo,77
1235,Routan,77
1236,Santana,77
1237,Scirocco,77
1238,Sharan,77
1239,T-Cross,77
1240,T-Roc,77
1241,Teramont,77
1242,Tiguan,77
1243,Tiguan Allspace,77
1244,Touareg,77
1245,Touran,77
1246,Transporter,77
1247,Vento,77
1248,up!,77
1249,262,76
1250,340,76
1251,744,76
1252,850,76
1253,945,76
1254,965,76
1255,C30,76
1256,C70,76
1257,Other,76
1258,S40,76
1259,S60,76
1260,S70,76
1261,S80,76
1262,S90,76
1263,Seria 200,76
1264,Seria 400,76
1265,Seria 700,76
1266,Seria 900,76
1267,V40,76
1268,V50,76
1269,V60,76
1270,V70,76
1271,V90,76
1272,XC 40,76
1273,XC 60,76
1274,XC 70,76
1275,XC 90,76
1276,203,52
1277,224,52
1278,M-20,52
1279,1.3,107
1280,311.0,107
1281,353.0,107
1282,2410,90
1283,GAZ-21,90
1284,GAZ-24,90
1285,Other,90
1286,968,92
1287,Other,92
1288,1100,79
1289,750,79
1290,Other,79
1291,105,99
1292,130,99
1293,Citigo,99
1294,Enyaq,99
1295,Fabia,99
1296,Favorit,99
1297,Felicia,99
1298,Forman,99
1299,Kamiq,99
1300,Karoq,99
1301,Kodiaq,99
1302,Octavia,99
1303,Praktik,99
1304,RAPID,99
1305,Roomster,99
1306,Scala,99
1307,Superb,99
1308,Yeti,99
1309,Other,73
